CodMunicipio;UF;NomeMunicipio;NomePrestadora
1200013;AC;Acrelandia;CLARO
1200138;AC;Bujari;CLARO
1200179;AC;Capixaba;CLARO
1200203;AC;Cruzeiro do Sul;CLARO
1200203;AC;Cruzeiro do Sul;OI
1200252;AC;Epitaciolandia;CLARO
1200302;AC;Feija;CLARO
1200336;AC;Mancio Lima;CLARO
1200351;AC;Marechal Thaumaturgo;CLARO
1200385;AC;Placido de Castro;CLARO
1200393;AC;Porto Walter;CLARO
1200401;AC;Rio Branco;CLARO
1200427;AC;Rodrigues Alves;CLARO
1200500;AC;Sena Madureira;CLARO
1200450;AC;Senador Guiomard;CLARO
1200609;AC;Tarauaca;CLARO
1200708;AC;Xapuri;CLARO
2700102;AL;agua Branca;TELEFONICA
2700201;AL;Anadia;TELEFONICA
2700300;AL;Arapiraca;TELEFONICA
2700409;AL;Atalaia;TELEFONICA
2700508;AL;Barra de Santo AntOnio;TELEFONICA
2700607;AL;Barra de Sao Miguel;TELEFONICA